userName,score,at,Ulasan,Sentimen Widi,Sentimen Nanda,"Sentimen Dra. UMI KOLISOH, M.Pd",Sentimen,Keterangan:,Cleaning,HapusEmoji,cleansing,CaseFolding,Tokenizing,Formalisasi,Stopword Removal,Stemming_list,Stemming
Deden Herdiana,4,2022-02-11 8:42:00,Harusnya dikasih bintang 4 bilang terimakasih... Belum mau ngasih bintang 5. Soalnya jaringan di area saya sangat lemot. Terkadang dari 4G malah drop sampai ke E...,1,1,1,-1,1. negatif ,Harusnya dikasih bintang   bilang terimakasih    Belum mau ngasih bintang    Soalnya jaringan di area saya sangat lemot  Terkadang dari    malah drop sampai ke,Harusnya dikasih bintang   bilang terimakasih    Belum mau ngasih bintang    Soalnya jaringan di area saya sangat lemot  Terkadang dari    malah drop sampai ke,Harusnya dikasih bintang bilang terimakasih Belum mau ngasih bintang Soalnya jaringan di area saya sangat lemot  Terkadang dari malah drop sampai ke,harusnya dikasih bintang bilang terimakasih belum mau ngasih bintang soalnya jaringan di area saya sangat lemot  terkadang dari malah drop sampai ke,"['harusnya', 'dikasih', 'bintang', 'bilang', 'terimakasih', 'belum', 'mau', 'ngasih', 'bintang', 'soalnya', 'jaringan', 'di', 'area', 'saya', 'sangat', 'lemot', 'terkadang', 'dari', 'malah', 'drop', 'sampai', 'ke']","['harusnya', 'kasih', 'bintang', 'bilang', 'terima kasih', 'belum', 'mau', 'memberikan', 'bintang', 'soalnya', 'jaringan', 'di', 'area', 'saya', 'sangat', 'lelet', 'terkadang', 'dari', 'bahkan', 'drop', 'sampai', 'ke']","['kasih', 'bintang', 'bilang', 'terima kasih', 'bintang', 'jaringan', 'area', 'lelet', 'terkadang', 'drop']","['kasih', 'bintang', 'bilang', 'terima kasih', 'bintang', 'jaring', 'area', 'lelet', 'terkadang', 'drop']",kasih bintang bilang terima kasih bintang jaring area lelet terkadang drop
Herry Ghunawan,1,2022-02-11 7:53:00,Tolong dong masalah jaringan hampir setiap hari leg parahh!! Jangan buat kecewa costumer lah,1,1,1,-1,2. positif ,Tolong dong masalah jaringan hampir setiap hari leg parahh   Jangan buat kecewa costumer lah,Tolong dong masalah jaringan hampir setiap hari leg parahh   Jangan buat kecewa costumer lah,Tolong dong masalah jaringan hampir setiap hari leg parahh Jangan buat kecewa costumer lah,tolong dong masalah jaringan hampir setiap hari leg parahh jangan buat kecewa costumer lah,"['tolong', 'dong', 'masalah', 'jaringan', 'hampir', 'setiap', 'hari', 'leg', 'parahh', 'jangan', 'buat', 'kecewa', 'costumer', 'lah']","['tolong', 'dong', 'masalah', 'jaringan', 'hampir', 'setiap', 'hari', 'lelet', 'parah', 'jangan', 'buat', 'kecewa', 'konsumen', 'lah']","['tolong', 'jaringan', 'lelet', 'parah', 'jangan', 'kecewa', 'konsumen']","['tolong', 'jaring', 'lelet', 'parah', 'jangan', 'kecewa', 'konsumen']",tolong jaring lelet parah jangan kecewa konsumen
Miyuki,5,2022-02-11 5:50:00,"Saya mau komen lagi,miminnnn kenapa akhir akhir ini jaringan XL sangat luar biasa parah sekalii bahkan pas saya searching di google behhh loadingnya kek nungguin ayam jantan bertelurðŸ—¿padahal jaringan saya selalu 4g tapi berasa kek 2g gak habis fikir kenapa bisa kek gini ya. Jadi tolong sekaliiii miminku tercinta untuk jaringan lebih lebih lebihhhhhhhhhhh ditingkatkan baiklah dari say segitu aja, ntar kalo dh ilang kesabaran sama jaringannya saya balik lagii:)",1,1,1,-1,3. netral,Saya mau komen lagi miminnnn kenapa akhir akhir ini jaringan XL sangat luar biasa parah sekalii bahkan pas saya searching di google behhh loadingnya kek nungguin ayam jantan bertelurðŸ—¿padahal jaringan saya selalu    tapi berasa kek    gak habis fikir kenapa bisa kek gini ya  Jadi tolong sekaliiii miminku tercinta untuk jaringan lebih lebih lebihhhhhhhhhhh ditingkatkan baiklah dari say segitu aja  ntar kalo dh ilang kesabaran sama jaringannya saya balik lagii,Saya mau komen lagi miminnnn kenapa akhir akhir ini jaringan XL sangat luar biasa parah sekalii bahkan pas saya searching di google behhh loadingnya kek nungguin ayam jantan bertelurpadahal jaringan saya selalu    tapi berasa kek    gak habis fikir kenapa bisa kek gini ya  Jadi tolong sekaliiii miminku tercinta untuk jaringan lebih lebih lebihhhhhhhhhhh ditingkatkan baiklah dari say segitu aja  ntar kalo dh ilang kesabaran sama jaringannya saya balik lagii,Saya mau komen lagi mimin kenapa akhir akhir ini jaringan XL sangat luar biasa parah sekalii bahkan pas saya searching di google beh loadingnya kek nungguin ayam jantan bertelurpadahal jaringan saya selalu tapi berasa kek gak habis fikir kenapa bisa kek gini ya  Jadi tolong sekali miminku tercinta untuk jaringan lebih lebih lebih ditingkatkan baiklah dari say segitu aja  ntar kalo dh ilang kesabaran sama jaringannya saya balik lagii,saya mau komen lagi mimin kenapa akhir akhir ini jaringan xl sangat luar biasa parah sekalii bahkan pas saya searching di google beh loadingnya kek nungguin ayam jantan bertelurpadahal jaringan saya selalu tapi berasa kek gak habis fikir kenapa bisa kek gini ya  jadi tolong sekali miminku tercinta untuk jaringan lebih lebih lebih ditingkatkan baiklah dari say segitu aja  ntar kalo dh ilang kesabaran sama jaringannya saya balik lagii,"['saya', 'mau', 'komen', 'lagi', 'mimin', 'kenapa', 'akhir', 'akhir', 'ini', 'jaringan', 'xl', 'sangat', 'luar', 'biasa', 'parah', 'sekalii', 'bahkan', 'pas', 'saya', 'searching', 'di', 'google', 'beh', 'loadingnya', 'kek', 'nungguin', 'ayam', 'jantan', 'bertelurpadahal', 'jaringan', 'saya', 'selalu', 'tapi', 'berasa', 'kek', 'gak', 'habis', 'fikir', 'kenapa', 'bisa', 'kek', 'gini', 'ya', 'jadi', 'tolong', 'sekali', 'miminku', 'tercinta', 'untuk', 'jaringan', 'lebih', 'lebih', 'lebih', 'ditingkatkan', 'baiklah', 'dari', 'say', 'segitu', 'aja', 'ntar', 'kalo', 'dh', 'ilang', 'kesabaran', 'sama', 'jaringannya', 'saya', 'balik', 'lagii']","['saya', 'mau', 'komen', 'lagi', 'mimin', 'kenapa', 'akhir', 'akhir', 'ini', 'jaringan', 'xl', 'sangat', 'luar', 'biasa', 'parah', 'sekalii', 'bahkan', 'pas', 'saya', 'cari', 'di', 'google', 'beh', 'menunggu', 'seperti', 'tunggu', 'ayam', 'jantan', 'bertelur', 'jaringan', 'saya', 'selalu', 'tapi', 'berasa', 'seperti', 'gak', 'habis', 'fikir', 'kenapa', 'bisa', 'seperti', 'gini', 'iya', 'jadi', 'tolong', 'sekali', 'miminku', 'tercinta', 'untuk', 'jaringan', 'lebih', 'lebih', 'lebih', 'ditingkatkan', 'baiklah', 'dari', 'sayang', 'segitu', 'saja', 'nanti', 'kalau', 'sudah', 'hilang', 'kesabaran', 'sama', 'jaringannya', 'saya', 'balik', 'lagii']","['komen', 'mimin', 'jaringan', 'xl', 'parah', 'sekalii', 'pas', 'cari', 'google', 'beh', 'menunggu', 'tunggu', 'ayam', 'jantan', 'bertelur', 'jaringan', 'berasa', 'gak', 'habis', 'fikir', 'gini', 'iya', 'tolong', 'miminku', 'tercinta', 'jaringan', 'ditingkatkan', 'baiklah', 'sayang', 'segitu', 'hilang', 'kesabaran', 'jaringannya', 'lagii']","['komen', 'mimin', 'jaring', 'xl', 'parah', 'sekali', 'pas', 'cari', 'google', 'beh', 'tunggu', 'tunggu', 'ayam', 'jantan', 'telur', 'jaring', 'asa', 'gak', 'habis', 'fikir', 'gin', 'iya', 'tolong', 'miminku', 'cinta', 'jaring', 'tingkat', 'baik', 'sayang', 'segitu', 'hilang', 'sabar', 'jaring', 'lagi']",komen mimin jaring xl parah sekali pas cari google beh tunggu tunggu ayam jantan telur jaring asa gak habis fikir gin iya tolong miminku cinta jaring tingkat baik sayang segitu hilang sabar jaring lagi
Wildan Saat Almaarif,2,2022-02-11 5:33:00,"Bonus kouta tiktok 13gb tidak diaktifkan/tidak diberikan kepada saya..jadi kouta yg seharusnya 105gb,jadi cuma 92gb..itu sangat merugikan bagi saya.",1,1,1,-1,,Bonus kouta tiktok  gb tidak diaktifkan tidak diberikan kepada saya  jadi kouta yg seharusnya  gb jadi cuma  gb  itu sangat merugikan bagi saya,Bonus kouta tiktok  gb tidak diaktifkan tidak diberikan kepada saya  jadi kouta yg seharusnya  gb jadi cuma  gb  itu sangat merugikan bagi saya,Bonus kouta tiktok  gb tidak diaktifkan tidak diberikan kepada saya  jadi kouta yg seharusnya  gb jadi cuma  gb  itu sangat merugikan bagi saya,bonus kouta tiktok  gb tidak diaktifkan tidak diberikan kepada saya  jadi kouta yg seharusnya  gb jadi cuma  gb  itu sangat merugikan bagi saya,"['bonus', 'kouta', 'tiktok', 'gb', 'tidak', 'diaktifkan', 'tidak', 'diberikan', 'kepada', 'saya', 'jadi', 'kouta', 'yg', 'seharusnya', 'gb', 'jadi', 'cuma', 'gb', 'itu', 'sangat', 'merugikan', 'bagi', 'saya']","['bonus', 'kouta', 'tiktok', 'gb', 'tidak', 'diaktifkan', 'tidak', 'diberikan', 'kepada', 'saya', 'jadi', 'kouta', 'yang', 'seharusnya', 'gb', 'jadi', 'cuma', 'gb', 'itu', 'sangat', 'merugikan', 'bagi', 'saya']","['bonus', 'kouta', 'tiktok', 'tidak', 'diaktifkan', 'tidak', 'kouta', 'merugikan']","['bonus', 'kouta', 'tiktok', 'tidak', 'aktif', 'tidak', 'kouta', 'rugi']",bonus kouta tiktok tidak aktif tidak kouta rugi
putri purwantiy,3,2022-02-11 3:10:00,"Sejauh ini bagusÂ² aja sih apk nya, tpi udh bbrp hari sinyal xl hilang, mana baru isi pulsa, tolong ya kak, saya banyak tugas sekolah sama kerjaan juga, jika tidak ada sinyal seperti ini tugas sekolah sama kerjaan sangat keganggu sekali, mohon bantuannya ya kakðŸ™ðŸ™",3,3,3,0,,Sejauh ini bagusÂ² aja sih apk nya  tpi udh bbrp hari sinyal xl hilang  mana baru isi pulsa  tolong ya kak  saya banyak tugas sekolah sama kerjaan juga  jika tidak ada sinyal seperti ini tugas sekolah sama kerjaan sangat keganggu sekali  mohon bantuannya ya kakðŸ™ðŸ™,Sejauh ini bagus aja sih apk nya  tpi udh bbrp hari sinyal xl hilang  mana baru isi pulsa  tolong ya kak  saya banyak tugas sekolah sama kerjaan juga  jika tidak ada sinyal seperti ini tugas sekolah sama kerjaan sangat keganggu sekali  mohon bantuannya ya kak,Sejauh ini bagus aja sih apk nya  tpi udh bbrp hari sinyal xl hilang  mana baru isi pulsa  tolong ya kak  saya banyak tugas sekolah sama kerjaan juga  jika tidak ada sinyal seperti ini tugas sekolah sama kerjaan sangat keganggu sekali  mohon bantuannya ya kak,sejauh ini bagus aja sih apk nya  tpi udh bbrp hari sinyal xl hilang  mana baru isi pulsa  tolong ya kak  saya banyak tugas sekolah sama kerjaan juga  jika tidak ada sinyal seperti ini tugas sekolah sama kerjaan sangat keganggu sekali  mohon bantuannya ya kak,"['sejauh', 'ini', 'bagus', 'aja', 'sih', 'apk', 'nya', 'tpi', 'udh', 'bbrp', 'hari', 'sinyal', 'xl', 'hilang', 'mana', 'baru', 'isi', 'pulsa', 'tolong', 'ya', 'kak', 'saya', 'banyak', 'tugas', 'sekolah', 'sama', 'kerjaan', 'juga', 'jika', 'tidak', 'ada', 'sinyal', 'seperti', 'ini', 'tugas', 'sekolah', 'sama', 'kerjaan', 'sangat', 'keganggu', 'sekali', 'mohon', 'bantuannya', 'ya', 'kak']","['sejauh', 'ini', 'bagus', 'saja', 'sih', 'aplikasi', 'nya', 'tapi', 'udh', 'beberapa', 'hari', 'sinyal', 'xl', 'hilang', 'mana', 'baru', 'isi', 'pulsa', 'tolong', 'iya', 'kak', 'saya', 'banyak', 'tugas', 'sekolah', 'sama', 'kerjaan', 'juga', 'jika', 'tidak', 'ada', 'sinyal', 'seperti', 'ini', 'tugas', 'sekolah', 'sama', 'kerjaan', 'sangat', 'keganggu', 'sekali', 'mohon', 'bantuannya', 'iya', 'kak']","['bagus', 'sih', 'aplikasi', 'nya', 'udh', 'sinyal', 'xl', 'hilang', 'isi', 'pulsa', 'tolong', 'iya', 'kak', 'tugas', 'sekolah', 'kerjaan', 'tidak', 'sinyal', 'tugas', 'sekolah', 'kerjaan', 'keganggu', 'mohon', 'bantuannya', 'iya', 'kak']","['bagus', 'sih', 'aplikasi', 'nya', 'udh', 'sinyal', 'xl', 'hilang', 'isi', 'pulsa', 'tolong', 'iya', 'kak', 'tugas', 'sekolah', 'kerja', 'tidak', 'sinyal', 'tugas', 'sekolah', 'kerja', 'ganggu', 'mohon', 'bantu', 'iya', 'kak']",bagus sih aplikasi nya udh sinyal xl hilang isi pulsa tolong iya kak tugas sekolah kerja tidak sinyal tugas sekolah kerja ganggu mohon bantu iya kak
Kki Ffi,5,2022-02-11 3:10:00,bagus murah murah harganya tapi kalo bisa tambahin yang masa aktif 1 bulan cuma yang harga nya lebih murah,2,2,2,1,,bagus murah murah harganya tapi kalo bisa tambahin yang masa aktif   bulan cuma yang harga nya lebih murah,bagus murah murah harganya tapi kalo bisa tambahin yang masa aktif   bulan cuma yang harga nya lebih murah,bagus murah murah harganya tapi kalo bisa tambahin yang masa aktif bulan cuma yang harga nya lebih murah,bagus murah murah harganya tapi kalo bisa tambahin yang masa aktif bulan cuma yang harga nya lebih murah,"['bagus', 'murah', 'murah', 'harganya', 'tapi', 'kalo', 'bisa', 'tambahin', 'yang', 'masa', 'aktif', 'bulan', 'cuma', 'yang', 'harga', 'nya', 'lebih', 'murah']","['bagus', 'murah', 'murah', 'harganya', 'tapi', 'kalau', 'bisa', 'tambah', 'yang', 'masa', 'aktif', 'bulan', 'cuma', 'yang', 'harga', 'nya', 'lebih', 'murah']","['bagus', 'murah', 'murah', 'harganya', 'aktif', 'harga', 'nya', 'murah']","['bagus', 'murah', 'murah', 'harga', 'aktif', 'harga', 'nya', 'murah']",bagus murah murah harga aktif harga nya murah
Ipoel slow,1,2022-02-11 1:53:00,"Ini aplikasi aneh, di sms suruh beli paket via apliaksi my xl, sudah di download buka aplikasi mau pilih paket malah macet, tiba2 keluar sendiri, kalo belum siap jangan bikin aplikasi, mending pindah ke oprator yg lain.",1,1,1,-1,,Ini aplikasi aneh  di sms suruh beli paket via apliaksi my xl  sudah di download buka aplikasi mau pilih paket malah macet  tiba  keluar sendiri  kalo belum siap jangan bikin aplikasi  mending pindah ke oprator yg lain,Ini aplikasi aneh  di sms suruh beli paket via apliaksi my xl  sudah di download buka aplikasi mau pilih paket malah macet  tiba  keluar sendiri  kalo belum siap jangan bikin aplikasi  mending pindah ke oprator yg lain,Ini aplikasi aneh  di sms suruh beli paket via apliaksi my xl  sudah di download buka aplikasi mau pilih paket malah macet  tiba  keluar sendiri  kalo belum siap jangan bikin aplikasi  mending pindah ke oprator yg lain,ini aplikasi aneh  di sms suruh beli paket via apliaksi my xl  sudah di download buka aplikasi mau pilih paket malah macet  tiba  keluar sendiri  kalo belum siap jangan bikin aplikasi  mending pindah ke oprator yg lain,"['ini', 'aplikasi', 'aneh', 'di', 'sms', 'suruh', 'beli', 'paket', 'via', 'apliaksi', 'my', 'xl', 'sudah', 'di', 'download', 'buka', 'aplikasi', 'mau', 'pilih', 'paket', 'malah', 'macet', 'tiba', 'keluar', 'sendiri', 'kalo', 'belum', 'siap', 'jangan', 'bikin', 'aplikasi', 'mending', 'pindah', 'ke', 'oprator', 'yg', 'lain']","['ini', 'aplikasi', 'aneh', 'di', 'sms', 'suruh', 'beli', 'paket', 'melalui', 'aplikasi', 'my', 'xl', 'sudah', 'di', 'unduh', 'buka', 'aplikasi', 'mau', 'pilih', 'paket', 'bahkan', 'macet', 'tiba', 'keluar', 'sendiri', 'kalau', 'belum', 'siap', 'jangan', 'bikin', 'aplikasi', 'lebih baik', 'pindah', 'ke', 'operator', 'yang', 'lain']","['aplikasi', 'aneh', 'sms', 'suruh', 'beli', 'paket', 'aplikasi', 'my', 'xl', 'unduh', 'buka', 'aplikasi', 'pilih', 'paket', 'macet', 'jangan', 'bikin', 'aplikasi', 'lebih baik', 'pindah', 'operator']","['aplikasi', 'aneh', 'sms', 'suruh', 'beli', 'paket', 'aplikasi', 'my', 'xl', 'unduh', 'buka', 'aplikasi', 'pilih', 'paket', 'macet', 'jangan', 'bikin', 'aplikasi', 'lebih baik', 'pindah', 'operator']",aplikasi aneh sms suruh beli paket aplikasi my xl unduh buka aplikasi pilih paket macet jangan bikin aplikasi lebih baik pindah operator
Ahmad Dzaki,1,2022-02-11 1:07:00,"Padahal cuma ngaktifin bonus, kuota utama ilang, sisa pulsa kesedot, Najis nyari nafkah gitu amat Cuihh",1,1,1,-1,,Padahal cuma ngaktifin bonus  kuota utama ilang  sisa pulsa kesedot  Najis nyari nafkah gitu amat Cuihh,Padahal cuma ngaktifin bonus  kuota utama ilang  sisa pulsa kesedot  Najis nyari nafkah gitu amat Cuihh,Padahal cuma ngaktifin bonus  kuota utama ilang  sisa pulsa kesedot  Najis nyari nafkah gitu amat Cuihh,padahal cuma ngaktifin bonus  kuota utama ilang  sisa pulsa kesedot  najis nyari nafkah gitu amat cuihh,"['padahal', 'cuma', 'ngaktifin', 'bonus', 'kuota', 'utama', 'ilang', 'sisa', 'pulsa', 'kesedot', 'najis', 'nyari', 'nafkah', 'gitu', 'amat', 'cuihh']","['padahal', 'cuma', 'aktif', 'bonus', 'kuota', 'utama', 'hilang', 'sisa', 'pulsa', 'kesedot', 'najis', 'mencari', 'nafkah', 'gitu', 'amat', 'cuihh']","['aktif', 'bonus', 'kuota', 'utama', 'hilang', 'sisa', 'pulsa', 'kesedot', 'najis', 'mencari', 'nafkah', 'gitu', 'cuihh']","['aktif', 'bonus', 'kuota', 'utama', 'hilang', 'sisa', 'pulsa', 'sedot', 'najis', 'cari', 'nafkah', 'gitu', 'cuihh']",aktif bonus kuota utama hilang sisa pulsa sedot najis cari nafkah gitu cuihh
Vera Robo,4,2022-02-11 14:13:00,"jringan xl di tmpt ku blm lancar, kalau mau online dikamar tdk bsa. hrus di luar ruangan bru bsa lancar",3,3,3,0,,jringan xl di tmpt ku blm lancar  kalau mau online dikamar tdk bsa  hrus di luar ruangan bru bsa lancar,jringan xl di tmpt ku blm lancar  kalau mau online dikamar tdk bsa  hrus di luar ruangan bru bsa lancar,jringan xl di tmpt ku blm lancar  kalau mau online dikamar tdk bsa  hrus di luar ruangan bru bsa lancar,jringan xl di tmpt ku blm lancar  kalau mau online dikamar tdk bsa  hrus di luar ruangan bru bsa lancar,"['jringan', 'xl', 'di', 'tmpt', 'ku', 'blm', 'lancar', 'kalau', 'mau', 'online', 'dikamar', 'tdk', 'bsa', 'hrus', 'di', 'luar', 'ruangan', 'bru', 'bsa', 'lancar']","['jaringan', 'xl', 'di', 'tempat', 'ku', 'belum', 'lancar', 'kalau', 'mau', 'online', 'dikamar', 'tidak', 'bisa', 'harus', 'di', 'luar', 'ruangan', 'baru', 'bisa', 'lancar']","['jaringan', 'xl', 'ku', 'lancar', 'online', 'dikamar', 'tidak', 'ruangan', 'lancar']","['jaring', 'xl', 'ku', 'lancar', 'online', 'kamar', 'tidak', 'ruang', 'lancar']",jaring xl ku lancar online kamar tidak ruang lancar
Ulul Fajar,1,2022-02-11 14:08:00,"Asu lagi enak2 main game, gangguan mulu di akhir game",1,1,1,-1,,Asu lagi enak  main game  gangguan mulu di akhir game,Asu lagi enak  main game  gangguan mulu di akhir game,Asu lagi enak  main game  gangguan mulu di akhir game,asu lagi enak  main game  gangguan mulu di akhir game,"['asu', 'lagi', 'enak', 'main', 'game', 'gangguan', 'mulu', 'di', 'akhir', 'game']","['anjing', 'lagi', 'enak', 'main', 'game', 'gangguan', 'melulu', 'di', 'akhir', 'game']","['anjing', 'enak', 'main', 'game', 'gangguan', 'melulu', 'game']","['anjing', 'enak', 'main', 'game', 'ganggu', 'melulu', 'game']",anjing enak main game ganggu melulu game
