Generation,Best Fitness,C Value,Gamma Value,Avg,Max,Min,Std
1,0.8994565217391305,1,1,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
2,0.8913043478260869,0,1,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
3,0.907608695652174,1,1,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
4,0.9103260869565217,0,0,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
5,0.8940217391304348,0,1,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
6,0.8885869565217391,1,1,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
7,0.8940217391304348,1,0,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
8,0.8967391304347826,0,0,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
9,0.8994565217391305,1,0,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
10,0.907608695652174,1,1,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
11,0.8940217391304348,0,1,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
12,0.907608695652174,0,1,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
13,0.9130434782608695,0,1,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
14,0.9103260869565217,1,0,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
15,0.8994565217391305,0,1,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
16,0.9157608695652174,1,0,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
17,0.8940217391304348,0,0,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
18,0.9184782608695652,0,0,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
19,0.9103260869565217,1,0,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
20,0.8913043478260869,1,1,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
21,0.8885869565217391,1,1,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
22,0.8994565217391305,0,1,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
23,0.907608695652174,1,1,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
24,0.9157608695652174,1,0,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
25,0.907608695652174,0,1,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
26,0.907608695652174,0,0,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
27,0.8994565217391305,0,1,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
28,0.9103260869565217,0,0,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
29,0.8994565217391305,1,1,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
30,0.8994565217391305,0,0,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
31,0.8967391304347826,1,1,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
32,0.8967391304347826,1,1,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
33,0.8913043478260869,0,1,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
34,0.9103260869565217,0,0,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
35,0.8994565217391305,1,0,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
36,0.8885869565217391,1,0,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
37,0.904891304347826,1,1,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
38,0.8125,0,0,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
39,0.8913043478260869,1,1,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
40,0.9157608695652174,1,0,[0.8996603260869567],[0.9184782608695652],[0.8125],[0.016342657664359248]
