Ulasan,cleansing
Harusnya dikasih bintang 4 bilang terimakasih... Belum mau ngasih bintang 5. Soalnya jaringan di area saya sangat lemot. Terkadang dari 4G malah drop sampai ke E...,Harusnya dikasih bintang bilang terimakasih Belum mau ngasih bintang Soalnya jaringan di area saya sangat lemot  Terkadang dari malah drop sampai ke
Tolong dong masalah jaringan hampir setiap hari leg parahh!! Jangan buat kecewa costumer lah,Tolong dong masalah jaringan hampir setiap hari leg parahh Jangan buat kecewa costumer lah
"Saya mau komen lagi,miminnnn kenapa akhir akhir ini jaringan XL sangat luar biasa parah sekalii bahkan pas saya searching di google behhh loadingnya kek nungguin ayam jantan bertelurðŸ—¿padahal jaringan saya selalu 4g tapi berasa kek 2g gak habis fikir kenapa bisa kek gini ya. Jadi tolong sekaliiii miminku tercinta untuk jaringan lebih lebih lebihhhhhhhhhhh ditingkatkan baiklah dari say segitu aja, ntar kalo dh ilang kesabaran sama jaringannya saya balik lagii:)",Saya mau komen lagi mimin kenapa akhir akhir ini jaringan XL sangat luar biasa parah sekalii bahkan pas saya searching di google beh loadingnya kek nungguin ayam jantan bertelurpadahal jaringan saya selalu tapi berasa kek gak habis fikir kenapa bisa kek gini ya  Jadi tolong sekali miminku tercinta untuk jaringan lebih lebih lebih ditingkatkan baiklah dari say segitu aja  ntar kalo dh ilang kesabaran sama jaringannya saya balik lagii
"Bonus kouta tiktok 13gb tidak diaktifkan/tidak diberikan kepada saya..jadi kouta yg seharusnya 105gb,jadi cuma 92gb..itu sangat merugikan bagi saya.",Bonus kouta tiktok  gb tidak diaktifkan tidak diberikan kepada saya  jadi kouta yg seharusnya  gb jadi cuma  gb  itu sangat merugikan bagi saya
"Sejauh ini bagusÂ² aja sih apk nya, tpi udh bbrp hari sinyal xl hilang, mana baru isi pulsa, tolong ya kak, saya banyak tugas sekolah sama kerjaan juga, jika tidak ada sinyal seperti ini tugas sekolah sama kerjaan sangat keganggu sekali, mohon bantuannya ya kakðŸ™ðŸ™",Sejauh ini bagus aja sih apk nya  tpi udh bbrp hari sinyal xl hilang  mana baru isi pulsa  tolong ya kak  saya banyak tugas sekolah sama kerjaan juga  jika tidak ada sinyal seperti ini tugas sekolah sama kerjaan sangat keganggu sekali  mohon bantuannya ya kak
bagus murah murah harganya tapi kalo bisa tambahin yang masa aktif 1 bulan cuma yang harga nya lebih murah,bagus murah murah harganya tapi kalo bisa tambahin yang masa aktif bulan cuma yang harga nya lebih murah
"Ini aplikasi aneh, di sms suruh beli paket via apliaksi my xl, sudah di download buka aplikasi mau pilih paket malah macet, tiba2 keluar sendiri, kalo belum siap jangan bikin aplikasi, mending pindah ke oprator yg lain.",Ini aplikasi aneh  di sms suruh beli paket via apliaksi my xl  sudah di download buka aplikasi mau pilih paket malah macet  tiba  keluar sendiri  kalo belum siap jangan bikin aplikasi  mending pindah ke oprator yg lain
"Padahal cuma ngaktifin bonus, kuota utama ilang, sisa pulsa kesedot, Najis nyari nafkah gitu amat Cuihh",Padahal cuma ngaktifin bonus  kuota utama ilang  sisa pulsa kesedot  Najis nyari nafkah gitu amat Cuihh
"jringan xl di tmpt ku blm lancar, kalau mau online dikamar tdk bsa. hrus di luar ruangan bru bsa lancar",jringan xl di tmpt ku blm lancar  kalau mau online dikamar tdk bsa  hrus di luar ruangan bru bsa lancar
"Asu lagi enak2 main game, gangguan mulu di akhir game",Asu lagi enak  main game  gangguan mulu di akhir game
"Oh gitu ya??? Knp kok sering lost pulsanya dgn langganan apalah RBT atw APA YG GAK JELAS, Registrasi aja tidak... kok NGACO YA.. Dan lg, knp sering dpt notifikasi kalo dpt bonus dr setiap pengisian ulang tp bo'ong alias GAK ADA alias ZOOOOONK. KECEWA SANGAT",Oh gitu ya Knp kok sering lost pulsanya dgn langganan apalah RBT atw APA YG GAK JELAS  Registrasi aja tidak kok NGACO YA Dan lg  knp sering dpt notifikasi kalo dpt bonus dr setiap pengisian ulang tp bo ong alias GAK ADA alias ZONK  KECEWA SANGAT
"Saya sedang bermasalah dengan pengisian pulsa karena masa tenggang, xl care maya dan agents sungguh tidak membantu. Maya bot: terbatas dalam cara penyelesaian, agents : antrian tidak bergerak sedikitpun!! Tolonglah fast response. Cs nya kalah sm shopee yg gercep dan ""terlihat"" online saat menerima pengaduan",Saya sedang bermasalah dengan pengisian pulsa karena masa tenggang  xl care maya dan agents sungguh tidak membantu  Maya bot  terbatas dalam cara penyelesaian  agents antrian tidak bergerak sedikitpun Tolonglah fast response  Cs nya kalah sm shopee yg gercep dan  terlihat  online saat menerima pengaduan
mantap...bisa bayar dengan va BCA kalau beli pulsa di myXL....trima kasih xl...,mantap bisa bayar dengan va BCA kalau beli pulsa di myXL trima kasih xl
