Stopword Removal,Stemming
"['kasih', 'bintang', 'bilang', 'terima kasih', 'bintang', 'jaringan', 'area', 'lelet', 'terkadang', 'drop']",kasih bintang bilang terima kasih bintang jaring area lelet terkadang drop
"['tolong', 'jaringan', 'lelet', 'parah', 'jangan', 'kecewa', 'konsumen']",tolong jaring lelet parah jangan kecewa konsumen
"['komen', 'mimin', 'jaringan', 'xl', 'parah', 'sekalii', 'pas', 'cari', 'google', 'beh', 'menunggu', 'tunggu', 'ayam', 'jantan', 'bertelur', 'jaringan', 'berasa', 'gak', 'habis', 'fikir', 'gini', 'iya', 'tolong', 'miminku', 'tercinta', 'jaringan', 'ditingkatkan', 'baiklah', 'sayang', 'segitu', 'hilang', 'kesabaran', 'jaringannya', 'lagii']",komen mimin jaring xl parah sekali pas cari google beh tunggu tunggu ayam jantan telur jaring asa gak habis fikir gin iya tolong miminku cinta jaring tingkat baik sayang segitu hilang sabar jaring lagi
"['bonus', 'kouta', 'tiktok', 'tidak', 'diaktifkan', 'tidak', 'kouta', 'merugikan']",bonus kouta tiktok tidak aktif tidak kouta rugi
"['bagus', 'sih', 'aplikasi', 'nya', 'udh', 'sinyal', 'xl', 'hilang', 'isi', 'pulsa', 'tolong', 'iya', 'kak', 'tugas', 'sekolah', 'kerjaan', 'tidak', 'sinyal', 'tugas', 'sekolah', 'kerjaan', 'keganggu', 'mohon', 'bantuannya', 'iya', 'kak']",bagus sih aplikasi nya udh sinyal xl hilang isi pulsa tolong iya kak tugas sekolah kerja tidak sinyal tugas sekolah kerja ganggu mohon bantu iya kak
"['bagus', 'murah', 'murah', 'harganya', 'aktif', 'harga', 'nya', 'murah']",bagus murah murah harga aktif harga nya murah
"['aplikasi', 'aneh', 'sms', 'suruh', 'beli', 'paket', 'aplikasi', 'my', 'xl', 'unduh', 'buka', 'aplikasi', 'pilih', 'paket', 'macet', 'jangan', 'bikin', 'aplikasi', 'lebih baik', 'pindah', 'operator']",aplikasi aneh sms suruh beli paket aplikasi my xl unduh buka aplikasi pilih paket macet jangan bikin aplikasi lebih baik pindah operator
"['aktif', 'bonus', 'kuota', 'utama', 'hilang', 'sisa', 'pulsa', 'kesedot', 'najis', 'mencari', 'nafkah', 'gitu', 'cuihh']",aktif bonus kuota utama hilang sisa pulsa sedot najis cari nafkah gitu cuihh
"['jaringan', 'xl', 'ku', 'lancar', 'online', 'dikamar', 'tidak', 'ruangan', 'lancar']",jaring xl ku lancar online kamar tidak ruang lancar
"['anjing', 'enak', 'main', 'game', 'gangguan', 'melulu', 'game']",anjing enak main game ganggu melulu game
