Formalisasi,Stopword Removal
"['harusnya', 'kasih', 'bintang', 'bilang', 'terima kasih', 'belum', 'mau', 'memberikan', 'bintang', 'soalnya', 'jaringan', 'di', 'area', 'saya', 'sangat', 'lelet', 'terkadang', 'dari', 'bahkan', 'drop', 'sampai', 'ke']","['kasih', 'bintang', 'bilang', 'terima kasih', 'bintang', 'jaringan', 'area', 'lelet', 'terkadang', 'drop']"
"['tolong', 'dong', 'masalah', 'jaringan', 'hampir', 'setiap', 'hari', 'lelet', 'parah', 'jangan', 'buat', 'kecewa', 'konsumen', 'lah']","['tolong', 'jaringan', 'lelet', 'parah', 'jangan', 'kecewa', 'konsumen']"
"['saya', 'mau', 'komen', 'lagi', 'mimin', 'kenapa', 'akhir', 'akhir', 'ini', 'jaringan', 'xl', 'sangat', 'luar', 'biasa', 'parah', 'sekalii', 'bahkan', 'pas', 'saya', 'cari', 'di', 'google', 'beh', 'menunggu', 'seperti', 'tunggu', 'ayam', 'jantan', 'bertelur', 'jaringan', 'saya', 'selalu', 'tapi', 'berasa', 'seperti', 'gak', 'habis', 'fikir', 'kenapa', 'bisa', 'seperti', 'gini', 'iya', 'jadi', 'tolong', 'sekali', 'miminku', 'tercinta', 'untuk', 'jaringan', 'lebih', 'lebih', 'lebih', 'ditingkatkan', 'baiklah', 'dari', 'sayang', 'segitu', 'saja', 'nanti', 'kalau', 'sudah', 'hilang', 'kesabaran', 'sama', 'jaringannya', 'saya', 'balik', 'lagii']","['komen', 'mimin', 'jaringan', 'xl', 'parah', 'sekalii', 'pas', 'cari', 'google', 'beh', 'menunggu', 'tunggu', 'ayam', 'jantan', 'bertelur', 'jaringan', 'berasa', 'gak', 'habis', 'fikir', 'gini', 'iya', 'tolong', 'miminku', 'tercinta', 'jaringan', 'ditingkatkan', 'baiklah', 'sayang', 'segitu', 'hilang', 'kesabaran', 'jaringannya', 'lagii']"
"['bonus', 'kouta', 'tiktok', 'gb', 'tidak', 'diaktifkan', 'tidak', 'diberikan', 'kepada', 'saya', 'jadi', 'kouta', 'yang', 'seharusnya', 'gb', 'jadi', 'cuma', 'gb', 'itu', 'sangat', 'merugikan', 'bagi', 'saya']","['bonus', 'kouta', 'tiktok', 'tidak', 'diaktifkan', 'tidak', 'kouta', 'merugikan']"
"['sejauh', 'ini', 'bagus', 'saja', 'sih', 'aplikasi', 'nya', 'tapi', 'udh', 'beberapa', 'hari', 'sinyal', 'xl', 'hilang', 'mana', 'baru', 'isi', 'pulsa', 'tolong', 'iya', 'kak', 'saya', 'banyak', 'tugas', 'sekolah', 'sama', 'kerjaan', 'juga', 'jika', 'tidak', 'ada', 'sinyal', 'seperti', 'ini', 'tugas', 'sekolah', 'sama', 'kerjaan', 'sangat', 'keganggu', 'sekali', 'mohon', 'bantuannya', 'iya', 'kak']","['bagus', 'sih', 'aplikasi', 'nya', 'udh', 'sinyal', 'xl', 'hilang', 'isi', 'pulsa', 'tolong', 'iya', 'kak', 'tugas', 'sekolah', 'kerjaan', 'tidak', 'sinyal', 'tugas', 'sekolah', 'kerjaan', 'keganggu', 'mohon', 'bantuannya', 'iya', 'kak']"
"['bagus', 'murah', 'murah', 'harganya', 'tapi', 'kalau', 'bisa', 'tambah', 'yang', 'masa', 'aktif', 'bulan', 'cuma', 'yang', 'harga', 'nya', 'lebih', 'murah']","['bagus', 'murah', 'murah', 'harganya', 'aktif', 'harga', 'nya', 'murah']"
"['ini', 'aplikasi', 'aneh', 'di', 'sms', 'suruh', 'beli', 'paket', 'melalui', 'aplikasi', 'my', 'xl', 'sudah', 'di', 'unduh', 'buka', 'aplikasi', 'mau', 'pilih', 'paket', 'bahkan', 'macet', 'tiba', 'keluar', 'sendiri', 'kalau', 'belum', 'siap', 'jangan', 'bikin', 'aplikasi', 'lebih baik', 'pindah', 'ke', 'operator', 'yang', 'lain']","['aplikasi', 'aneh', 'sms', 'suruh', 'beli', 'paket', 'aplikasi', 'my', 'xl', 'unduh', 'buka', 'aplikasi', 'pilih', 'paket', 'macet', 'jangan', 'bikin', 'aplikasi', 'lebih baik', 'pindah', 'operator']"
"['padahal', 'cuma', 'aktif', 'bonus', 'kuota', 'utama', 'hilang', 'sisa', 'pulsa', 'kesedot', 'najis', 'mencari', 'nafkah', 'gitu', 'amat', 'cuihh']","['aktif', 'bonus', 'kuota', 'utama', 'hilang', 'sisa', 'pulsa', 'kesedot', 'najis', 'mencari', 'nafkah', 'gitu', 'cuihh']"
"['jaringan', 'xl', 'di', 'tempat', 'ku', 'belum', 'lancar', 'kalau', 'mau', 'online', 'dikamar', 'tidak', 'bisa', 'harus', 'di', 'luar', 'ruangan', 'baru', 'bisa', 'lancar']","['jaringan', 'xl', 'ku', 'lancar', 'online', 'dikamar', 'tidak', 'ruangan', 'lancar']"
"['anjing', 'lagi', 'enak', 'main', 'game', 'gangguan', 'melulu', 'di', 'akhir', 'game']","['anjing', 'enak', 'main', 'game', 'gangguan', 'melulu', 'game']"
