CaseFolding,Tokenizing
harusnya dikasih bintang bilang terimakasih belum mau ngasih bintang soalnya jaringan di area saya sangat lemot  terkadang dari malah drop sampai ke,"['harusnya', 'dikasih', 'bintang', 'bilang', 'terimakasih', 'belum', 'mau', 'ngasih', 'bintang', 'soalnya', 'jaringan', 'di', 'area', 'saya', 'sangat', 'lemot', 'terkadang', 'dari', 'malah', 'drop', 'sampai', 'ke']"
tolong dong masalah jaringan hampir setiap hari leg parahh jangan buat kecewa costumer lah,"['tolong', 'dong', 'masalah', 'jaringan', 'hampir', 'setiap', 'hari', 'leg', 'parahh', 'jangan', 'buat', 'kecewa', 'costumer', 'lah']"
saya mau komen lagi mimin kenapa akhir akhir ini jaringan xl sangat luar biasa parah sekalii bahkan pas saya searching di google beh loadingnya kek nungguin ayam jantan bertelurpadahal jaringan saya selalu tapi berasa kek gak habis fikir kenapa bisa kek gini ya  jadi tolong sekali miminku tercinta untuk jaringan lebih lebih lebih ditingkatkan baiklah dari say segitu aja  ntar kalo dh ilang kesabaran sama jaringannya saya balik lagii,"['saya', 'mau', 'komen', 'lagi', 'mimin', 'kenapa', 'akhir', 'akhir', 'ini', 'jaringan', 'xl', 'sangat', 'luar', 'biasa', 'parah', 'sekalii', 'bahkan', 'pas', 'saya', 'searching', 'di', 'google', 'beh', 'loadingnya', 'kek', 'nungguin', 'ayam', 'jantan', 'bertelurpadahal', 'jaringan', 'saya', 'selalu', 'tapi', 'berasa', 'kek', 'gak', 'habis', 'fikir', 'kenapa', 'bisa', 'kek', 'gini', 'ya', 'jadi', 'tolong', 'sekali', 'miminku', 'tercinta', 'untuk', 'jaringan', 'lebih', 'lebih', 'lebih', 'ditingkatkan', 'baiklah', 'dari', 'say', 'segitu', 'aja', 'ntar', 'kalo', 'dh', 'ilang', 'kesabaran', 'sama', 'jaringannya', 'saya', 'balik', 'lagii']"
bonus kouta tiktok  gb tidak diaktifkan tidak diberikan kepada saya  jadi kouta yg seharusnya  gb jadi cuma  gb  itu sangat merugikan bagi saya,"['bonus', 'kouta', 'tiktok', 'gb', 'tidak', 'diaktifkan', 'tidak', 'diberikan', 'kepada', 'saya', 'jadi', 'kouta', 'yg', 'seharusnya', 'gb', 'jadi', 'cuma', 'gb', 'itu', 'sangat', 'merugikan', 'bagi', 'saya']"
sejauh ini bagus aja sih apk nya  tpi udh bbrp hari sinyal xl hilang  mana baru isi pulsa  tolong ya kak  saya banyak tugas sekolah sama kerjaan juga  jika tidak ada sinyal seperti ini tugas sekolah sama kerjaan sangat keganggu sekali  mohon bantuannya ya kak,"['sejauh', 'ini', 'bagus', 'aja', 'sih', 'apk', 'nya', 'tpi', 'udh', 'bbrp', 'hari', 'sinyal', 'xl', 'hilang', 'mana', 'baru', 'isi', 'pulsa', 'tolong', 'ya', 'kak', 'saya', 'banyak', 'tugas', 'sekolah', 'sama', 'kerjaan', 'juga', 'jika', 'tidak', 'ada', 'sinyal', 'seperti', 'ini', 'tugas', 'sekolah', 'sama', 'kerjaan', 'sangat', 'keganggu', 'sekali', 'mohon', 'bantuannya', 'ya', 'kak']"
bagus murah murah harganya tapi kalo bisa tambahin yang masa aktif bulan cuma yang harga nya lebih murah,"['bagus', 'murah', 'murah', 'harganya', 'tapi', 'kalo', 'bisa', 'tambahin', 'yang', 'masa', 'aktif', 'bulan', 'cuma', 'yang', 'harga', 'nya', 'lebih', 'murah']"
ini aplikasi aneh  di sms suruh beli paket via apliaksi my xl  sudah di download buka aplikasi mau pilih paket malah macet  tiba  keluar sendiri  kalo belum siap jangan bikin aplikasi  mending pindah ke oprator yg lain,"['ini', 'aplikasi', 'aneh', 'di', 'sms', 'suruh', 'beli', 'paket', 'via', 'apliaksi', 'my', 'xl', 'sudah', 'di', 'download', 'buka', 'aplikasi', 'mau', 'pilih', 'paket', 'malah', 'macet', 'tiba', 'keluar', 'sendiri', 'kalo', 'belum', 'siap', 'jangan', 'bikin', 'aplikasi', 'mending', 'pindah', 'ke', 'oprator', 'yg', 'lain']"
padahal cuma ngaktifin bonus  kuota utama ilang  sisa pulsa kesedot  najis nyari nafkah gitu amat cuihh,"['padahal', 'cuma', 'ngaktifin', 'bonus', 'kuota', 'utama', 'ilang', 'sisa', 'pulsa', 'kesedot', 'najis', 'nyari', 'nafkah', 'gitu', 'amat', 'cuihh']"
jringan xl di tmpt ku blm lancar  kalau mau online dikamar tdk bsa  hrus di luar ruangan bru bsa lancar,"['jringan', 'xl', 'di', 'tmpt', 'ku', 'blm', 'lancar', 'kalau', 'mau', 'online', 'dikamar', 'tdk', 'bsa', 'hrus', 'di', 'luar', 'ruangan', 'bru', 'bsa', 'lancar']"
asu lagi enak  main game  gangguan mulu di akhir game,"['asu', 'lagi', 'enak', 'main', 'game', 'gangguan', 'mulu', 'di', 'akhir', 'game']"
