Tokenizing,Formalisasi
"['harusnya', 'dikasih', 'bintang', 'bilang', 'terimakasih', 'belum', 'mau', 'ngasih', 'bintang', 'soalnya', 'jaringan', 'di', 'area', 'saya', 'sangat', 'lemot', 'terkadang', 'dari', 'malah', 'drop', 'sampai', 'ke']","['harusnya', 'kasih', 'bintang', 'bilang', 'terima kasih', 'belum', 'mau', 'memberikan', 'bintang', 'soalnya', 'jaringan', 'di', 'area', 'saya', 'sangat', 'lelet', 'terkadang', 'dari', 'bahkan', 'drop', 'sampai', 'ke']"
"['tolong', 'dong', 'masalah', 'jaringan', 'hampir', 'setiap', 'hari', 'leg', 'parahh', 'jangan', 'buat', 'kecewa', 'costumer', 'lah']","['tolong', 'dong', 'masalah', 'jaringan', 'hampir', 'setiap', 'hari', 'lelet', 'parah', 'jangan', 'buat', 'kecewa', 'konsumen', 'lah']"
"['saya', 'mau', 'komen', 'lagi', 'mimin', 'kenapa', 'akhir', 'akhir', 'ini', 'jaringan', 'xl', 'sangat', 'luar', 'biasa', 'parah', 'sekalii', 'bahkan', 'pas', 'saya', 'searching', 'di', 'google', 'beh', 'loadingnya', 'kek', 'nungguin', 'ayam', 'jantan', 'bertelurpadahal', 'jaringan', 'saya', 'selalu', 'tapi', 'berasa', 'kek', 'gak', 'habis', 'fikir', 'kenapa', 'bisa', 'kek', 'gini', 'ya', 'jadi', 'tolong', 'sekali', 'miminku', 'tercinta', 'untuk', 'jaringan', 'lebih', 'lebih', 'lebih', 'ditingkatkan', 'baiklah', 'dari', 'say', 'segitu', 'aja', 'ntar', 'kalo', 'dh', 'ilang', 'kesabaran', 'sama', 'jaringannya', 'saya', 'balik', 'lagii']","['saya', 'mau', 'komen', 'lagi', 'mimin', 'kenapa', 'akhir', 'akhir', 'ini', 'jaringan', 'xl', 'sangat', 'luar', 'biasa', 'parah', 'sekalii', 'bahkan', 'pas', 'saya', 'cari', 'di', 'google', 'beh', 'menunggu', 'seperti', 'tunggu', 'ayam', 'jantan', 'bertelur', 'jaringan', 'saya', 'selalu', 'tapi', 'berasa', 'seperti', 'gak', 'habis', 'fikir', 'kenapa', 'bisa', 'seperti', 'gini', 'iya', 'jadi', 'tolong', 'sekali', 'miminku', 'tercinta', 'untuk', 'jaringan', 'lebih', 'lebih', 'lebih', 'ditingkatkan', 'baiklah', 'dari', 'sayang', 'segitu', 'saja', 'nanti', 'kalau', 'sudah', 'hilang', 'kesabaran', 'sama', 'jaringannya', 'saya', 'balik', 'lagii']"
"['bonus', 'kouta', 'tiktok', 'gb', 'tidak', 'diaktifkan', 'tidak', 'diberikan', 'kepada', 'saya', 'jadi', 'kouta', 'yg', 'seharusnya', 'gb', 'jadi', 'cuma', 'gb', 'itu', 'sangat', 'merugikan', 'bagi', 'saya']","['bonus', 'kouta', 'tiktok', 'gb', 'tidak', 'diaktifkan', 'tidak', 'diberikan', 'kepada', 'saya', 'jadi', 'kouta', 'yang', 'seharusnya', 'gb', 'jadi', 'cuma', 'gb', 'itu', 'sangat', 'merugikan', 'bagi', 'saya']"
"['sejauh', 'ini', 'bagus', 'aja', 'sih', 'apk', 'nya', 'tpi', 'udh', 'bbrp', 'hari', 'sinyal', 'xl', 'hilang', 'mana', 'baru', 'isi', 'pulsa', 'tolong', 'ya', 'kak', 'saya', 'banyak', 'tugas', 'sekolah', 'sama', 'kerjaan', 'juga', 'jika', 'tidak', 'ada', 'sinyal', 'seperti', 'ini', 'tugas', 'sekolah', 'sama', 'kerjaan', 'sangat', 'keganggu', 'sekali', 'mohon', 'bantuannya', 'ya', 'kak']","['sejauh', 'ini', 'bagus', 'saja', 'sih', 'aplikasi', 'nya', 'tapi', 'udh', 'beberapa', 'hari', 'sinyal', 'xl', 'hilang', 'mana', 'baru', 'isi', 'pulsa', 'tolong', 'iya', 'kak', 'saya', 'banyak', 'tugas', 'sekolah', 'sama', 'kerjaan', 'juga', 'jika', 'tidak', 'ada', 'sinyal', 'seperti', 'ini', 'tugas', 'sekolah', 'sama', 'kerjaan', 'sangat', 'keganggu', 'sekali', 'mohon', 'bantuannya', 'iya', 'kak']"
"['bagus', 'murah', 'murah', 'harganya', 'tapi', 'kalo', 'bisa', 'tambahin', 'yang', 'masa', 'aktif', 'bulan', 'cuma', 'yang', 'harga', 'nya', 'lebih', 'murah']","['bagus', 'murah', 'murah', 'harganya', 'tapi', 'kalau', 'bisa', 'tambah', 'yang', 'masa', 'aktif', 'bulan', 'cuma', 'yang', 'harga', 'nya', 'lebih', 'murah']"
"['ini', 'aplikasi', 'aneh', 'di', 'sms', 'suruh', 'beli', 'paket', 'via', 'apliaksi', 'my', 'xl', 'sudah', 'di', 'download', 'buka', 'aplikasi', 'mau', 'pilih', 'paket', 'malah', 'macet', 'tiba', 'keluar', 'sendiri', 'kalo', 'belum', 'siap', 'jangan', 'bikin', 'aplikasi', 'mending', 'pindah', 'ke', 'oprator', 'yg', 'lain']","['ini', 'aplikasi', 'aneh', 'di', 'sms', 'suruh', 'beli', 'paket', 'melalui', 'aplikasi', 'my', 'xl', 'sudah', 'di', 'unduh', 'buka', 'aplikasi', 'mau', 'pilih', 'paket', 'bahkan', 'macet', 'tiba', 'keluar', 'sendiri', 'kalau', 'belum', 'siap', 'jangan', 'bikin', 'aplikasi', 'lebih baik', 'pindah', 'ke', 'operator', 'yang', 'lain']"
"['padahal', 'cuma', 'ngaktifin', 'bonus', 'kuota', 'utama', 'ilang', 'sisa', 'pulsa', 'kesedot', 'najis', 'nyari', 'nafkah', 'gitu', 'amat', 'cuihh']","['padahal', 'cuma', 'aktif', 'bonus', 'kuota', 'utama', 'hilang', 'sisa', 'pulsa', 'kesedot', 'najis', 'mencari', 'nafkah', 'gitu', 'amat', 'cuihh']"
"['jringan', 'xl', 'di', 'tmpt', 'ku', 'blm', 'lancar', 'kalau', 'mau', 'online', 'dikamar', 'tdk', 'bsa', 'hrus', 'di', 'luar', 'ruangan', 'bru', 'bsa', 'lancar']","['jaringan', 'xl', 'di', 'tempat', 'ku', 'belum', 'lancar', 'kalau', 'mau', 'online', 'dikamar', 'tidak', 'bisa', 'harus', 'di', 'luar', 'ruangan', 'baru', 'bisa', 'lancar']"
"['asu', 'lagi', 'enak', 'main', 'game', 'gangguan', 'mulu', 'di', 'akhir', 'game']","['anjing', 'lagi', 'enak', 'main', 'game', 'gangguan', 'melulu', 'di', 'akhir', 'game']"
"['oh', 'gitu', 'ya', 'knp', 'kok', 'sering', 'lost', 'pulsanya', 'dgn', 'langganan', 'apalah', 'rbt', 'atw', 'apa', 'yg', 'gak', 'jelas', 'registrasi', 'aja', 'tidak', 'kok', 'ngaco', 'ya', 'dan', 'lg', 'knp', 'sering', 'dpt', 'notifikasi', 'kalo', 'dpt', 'bonus', 'dr', 'setiap', 'pengisian', 'ulang', 'tp', 'bo', 'ong', 'alias', 'gak', 'ada', 'alias', 'zonk', 'kecewa', 'sangat']","['oh', 'gitu', 'iya', 'kenapa', 'kok', 'sering', 'hilang', 'pulsanya', 'dengan', 'langganan', 'apalah', 'ribet', 'atau', 'apa', 'yang', 'gak', 'jelas', 'registrasi', 'saja', 'tidak', 'kok', 'kacau', 'iya', 'dan', 'lagi', 'kenapa', 'sering', 'dapat', 'notifikasi', 'kalau', 'dapat', 'bonus', 'dari', 'setiap', 'pengisian', 'ulang', 'tapi', 'bo', 'ong', 'alias', 'gak', 'ada', 'alias', 'bodoh', 'kecewa', 'sangat']"
"['saya', 'sedang', 'bermasalah', 'dengan', 'pengisian', 'pulsa', 'karena', 'masa', 'tenggang', 'xl', 'care', 'maya', 'dan', 'agents', 'sungguh', 'tidak', 'membantu', 'maya', 'bot', 'terbatas', 'dalam', 'cara', 'penyelesaian', 'agents', 'antrian', 'tidak', 'bergerak', 'sedikitpun', 'tolonglah', 'fast', 'response', 'cs', 'nya', 'kalah', 'sm', 'shopee', 'yg', 'gercep', 'dan', 'terlihat', 'online', 'saat', 'menerima', 'pengaduan']","['saya', 'sedang', 'bermasalah', 'dengan', 'pengisian', 'pulsa', 'karena', 'masa', 'tenggang', 'xl', 'peduli', 'maya', 'dan', 'agen', 'sungguh', 'tidak', 'membantu', 'maya', 'robot', 'terbatas', 'dalam', 'cara', 'penyelesaian', 'agen', 'antrian', 'tidak', 'bergerak', 'sedikitpun', 'tolonglah', 'cepat', 'respon', 'cs', 'nya', 'kalah', 'sm', 'shopee', 'yang', 'gerak cepat', 'dan', 'terlihat', 'online', 'saat', 'menerima', 'pengaduan']"
"['mantap', 'bisa', 'bayar', 'dengan', 'va', 'bca', 'kalau', 'beli', 'pulsa', 'di', 'myxl', 'trima', 'kasih', 'xl']","['mantap', 'bisa', 'bayar', 'dengan', 'va', 'bca', 'kalau', 'beli', 'pulsa', 'di', 'myxl', 'terima kasih', 'kasih', 'xl']"
"['sebenarnya', 'bagi', 'masyarakat', 'awam', 'cukup', 'pintar', 'untuk', 'merestart', 'device', 'kalian', 'switch', 'ke', 'kartu', 'lain', 'kartu', 'xl', 'yg', 'serupa', 'agar', 'tidak', 'terjadi', 'crash', 'atau', 'keluar', 'apps', 'sendiri', 'membersihkan', 'penyimpanan', 'internal', 'agar', 'tidak', 'terjadi', 'lemot', 'pada', 'device', 'jika', 'hal', 'hal', 'lain', 'seperti', 'terpotong', 'pulsa', 'lebih', 'baik', 'anda', 'semua', 'pilih', 'fitur', 'kontrol', 'pulsa', 'pada', 'laman', 'pengaturan', 'sekian', 'dari', 'saya', 'terimakasih']","['sebenarnya', 'bagi', 'masyarakat', 'awam', 'cukup', 'pintar', 'untuk', 'menggulangi', 'perangkat', 'kalian', 'pindah', 'ke', 'kartu', 'lain', 'kartu', 'xl', 'yang', 'serupa', 'agar', 'tidak', 'terjadi', 'rusak', 'atau', 'keluar', 'aplikasi', 'sendiri', 'membersihkan', 'penyimpanan', 'internal', 'agar', 'tidak', 'terjadi', 'lelet', 'pada', 'perangkat', 'jika', 'hal', 'hal', 'lain', 'seperti', 'terpotong', 'pulsa', 'lebih', 'baik', 'anda', 'semua', 'pilih', 'fitur', 'kontrol', 'pulsa', 'pada', 'laman', 'pengaturan', 'sekian', 'dari', 'saya', 'terima kasih']"
"['harga', 'sdh', 'oke', 'lbh', 'terjangkau', 'dr', 'yg', 'lain', 'tapi', 'kualitas', 'jaringan', 'sangat', 'mengecewakan', 'tidak', 'stabil', 'bahkan', 'signalnya', 'sering', 'ilang', 'ilangan', 'percuma', 'kuota', 'besar', 'tapi', 'lemot', 'parah', 'tolong', 'perbaiki']","['harga', 'sdh', 'oke', 'lebih', 'terjangkau', 'dari', 'yang', 'lain', 'tapi', 'kualitas', 'jaringan', 'sangat', 'mengecewakan', 'tidak', 'stabil', 'bahkan', 'sinyal', 'sering', 'hilang', 'hilang', 'percuma', 'kuota', 'besar', 'tapi', 'lelet', 'parah', 'tolong', 'perbaiki']"
"['kenapa', 'sinyal', 'xl', 'kalau', 'malem', 'jelek', 'banget', 'tapi', 'kalau', 'siang', 'bagus', 'banget']","['kenapa', 'sinyal', 'xl', 'kalau', 'malam', 'jelek', 'banget', 'tapi', 'kalau', 'siang', 'bagus', 'banget']"
"['seru', 'banget', 'saya', 'baru', 'beli', 'paket', 'bayar', 'pake', 'pulsa', 'trus', 'masih', 'ada', 'sisa', 'pulsa', 'rebuu', 'paketnya', 'emang', 'udah', 'masuk', 'sihh', 'trus', 'on', 'data', 'buka', 'ini', 'itu', 'yang', 'kesedot', 'pulsanya', 'kipak', 'mana', 'abis', 'tuh', 'rebu', 'kipakk', 'plislah', 'untuk', 'xl', 'kalo', 'mau', 'nyedot', 'pulsa', 'usahakan', 'ada', 'konfirmasi', 'atau', 'tidaknya', 'soalnya', 'kakak', 'saya', 'juga', 'sering', 'ngalamin', 'seperti', 'itu', 'saya', 'dan', 'kakak', 'saya', 'pelanggan', 'setia', 'xl', 'but', 'xl', 'jaringan', 'lumayan', 'bagus', 'dan', 'terkadang', 'ada', 'diskon', 'gede', 'an', 'jadi', 'tolong', 'ya', 'di', 'perbaiki', 'lagi', 'agar', 'tidak', 'mengcewan', 'pelanggan']","['seru', 'banget', 'saya', 'baru', 'beli', 'paket', 'bayar', 'pakai', 'pulsa', 'terus', 'masih', 'ada', 'sisa', 'pulsa', 'ribu', 'paketnya', 'emang', 'sudah', 'masuk', 'sihh', 'terus', 'on', 'data', 'buka', 'ini', 'itu', 'yang', 'kesedot', 'pulsanya', 'kipak', 'mana', 'habis', 'tuh', 'ribu', 'bohong', 'tolong', 'untuk', 'xl', 'kalau', 'mau', 'sedot', 'pulsa', 'usahakan', 'ada', 'konfirmasi', 'atau', 'tidaknya', 'soalnya', 'kakak', 'saya', 'juga', 'sering', 'mengalami', 'seperti', 'itu', 'saya', 'dan', 'kakak', 'saya', 'konsumen', 'setia', 'xl', 'mungkin', 'xl', 'jaringan', 'lumayan', 'bagus', 'dan', 'terkadang', 'ada', 'diskon', 'gede', 'an', 'jadi', 'tolong', 'iya', 'di', 'perbaiki', 'lagi', 'agar', 'tidak', 'mengecewakan', 'konsumen']"
